7.0, 3.0, 2
9.0, 7.0, 2
5.0, 7.0, 3
1.0, 5.0, 2
9.0, 3.0, 2
5.0, 7.0, 3
5.0, 9.0, 3
5.0, 3.0, 3
5.0, 3.0, 3
9.0, 7.0, 4
7.0, 3.0, 4
7.0, 5.0, 3
9.0, 7.0, 4
1.0, 5.0, 4
1.0, 5.0, 2
9.0, 3.0, 2
7.0, 3.0, 3
1.0, 3.0, 2
3.0, 5.0, 2
1.0, 5.0, 2
7.0, 1.0, 3
3.0, 1.0, 3
1.0, 7.0, 3
7.0, 3.0, 3
7.0, 1.0, 2
1.0, 5.0, 4
7.0, 3.0, 2
9.0, 3.0, 4
3.0, 7.0, 2
1.0, 9.0, 2
3.0, 5.0, 4
1.0, 5.0, 4
3.0, 1.0, 4
7.0, 1.0, 4
3.0, 1.0, 4
1.0, 1.0, 2
5.0, 5.0, 3
7.0, 3.0, 4
1.0, 9.0, 4
3.0, 7.0, 4
5.0, 5.0, 3
5.0, 5.0, 2
9.0, 1.0, 2
1.0, 9.0, 3
9.0, 1.0, 3
3.0, 7.0, 2
5.0, 9.0, 2
5.0, 7.0, 2
