3.0, 1.0, 1, 7
7.0, 1.0, 1, 6
9.0, 3.0, 4, 6
5.0, 5.0, 2, 6
5.0, 7.0, 4, 6
5.0, 9.0, 4, 7
1.0, 9.0, 3, 6
5.0, 7.0, 3, 6
7.0, 7.0, 1, 7
1.0, 9.0, 2, 6
5.0, 9.0, 2, 6
5.0, 3.0, 4, 6
5.0, 7.0, 2, 6
9.0, 1.0, 3, 6
5.0, 3.0, 3, 6
7.0, 3.0, 3, 7
1.0, 1.0, 1, 6
1.0, 3.0, 4, 6
7.0, 5.0, 4, 6
9.0, 7.0, 4, 7
1.0, 5.0, 3, 7
9.0, 3.0, 2, 7
5.0, 5.0, 4, 7
7.0, 3.0, 1, 6
9.0, 1.0, 4, 7
7.0, 1.0, 4, 6
1.0, 7.0, 1, 6
3.0, 3.0, 2, 7
9.0, 5.0, 1, 6
7.0, 9.0, 4, 6
9.0, 1.0, 2, 6
3.0, 7.0, 4, 7
7.0, 3.0, 2, 6
9.0, 9.0, 3, 7
3.0, 5.0, 2, 6
9.0, 3.0, 1, 7
5.0, 3.0, 1, 6
9.0, 9.0, 2, 7
1.0, 7.0, 4, 6
1.0, 3.0, 2, 7
7.0, 5.0, 2, 6
7.0, 7.0, 2, 6
7.0, 7.0, 4, 6
1.0, 5.0, 1, 7
3.0, 5.0, 1, 7
9.0, 9.0, 1, 6
9.0, 7.0, 2, 7
5.0, 3.0, 2, 6
3.0, 3.0, 4, 6
3.0, 7.0, 3, 6
7.0, 9.0, 3, 6
7.0, 5.0, 1, 6
3.0, 9.0, 2, 6
3.0, 9.0, 4, 6
3.0, 3.0, 3, 6
9.0, 1.0, 1, 7
7.0, 1.0, 2, 6
7.0, 9.0, 2, 6
9.0, 5.0, 4, 7
7.0, 3.0, 4, 7
1.0, 9.0, 4, 7
3.0, 7.0, 1, 7
5.0, 5.0, 1, 6
7.0, 1.0, 3, 6
9.0, 5.0, 2, 6
5.0, 9.0, 3, 7
1.0, 7.0, 3, 7
9.0, 9.0, 4, 6
5.0, 5.0, 3, 7
1.0, 7.0, 2, 7
5.0, 1.0, 4, 7
1.0, 1.0, 2, 7
7.0, 9.0, 1, 7
5.0, 1.0, 3, 7
1.0, 5.0, 4, 7
5.0, 1.0, 2, 6
1.0, 3.0, 3, 6
3.0, 5.0, 3, 7
7.0, 5.0, 3, 6
9.0, 3.0, 3, 7
9.0, 5.0, 3, 7
9.0, 7.0, 3, 6
7.0, 1.0, 1, 7
5.0, 7.0, 1, 6
3.0, 3.0, 1, 6
5.0, 7.0, 4, 7
9.0, 7.0, 4, 6
5.0, 9.0, 1, 7
1.0, 5.0, 3, 6
3.0, 1.0, 4, 6
5.0, 7.0, 3, 7
5.0, 1.0, 1, 6
5.0, 3.0, 4, 7
1.0, 9.0, 1, 7
5.0, 3.0, 3, 7
3.0, 9.0, 3, 7
1.0, 1.0, 1, 7
1.0, 3.0, 1, 6
1.0, 5.0, 2, 6
7.0, 3.0, 1, 7
1.0, 1.0, 4, 6
7.0, 1.0, 4, 7
1.0, 5.0, 1, 6
3.0, 5.0, 1, 6
9.0, 7.0, 2, 6
3.0, 1.0, 3, 7
3.0, 1.0, 2, 6
7.0, 3.0, 2, 7
9.0, 1.0, 1, 6
3.0, 1.0, 1, 6
9.0, 5.0, 4, 6
